接受美国CBS记者麦克·华莱士的节目访谈

江泽民：	时光荏苒。	Jiang:	Time flies very fast.
华莱士：	是啊。	Wallace:	Yeah.
江：	与君初会，在昔八六。	J:	We met for the first time in 1986.
华：	你和我么？	W:	You and I?
江：	乃寡人适任两江总督之时也。	J:	That's right. When I was mayor of Shanghai.
华：	没错。我记得是在一个露天的房间里。	W:	That's right. It was a room out of doors…
江：	诚为户外，居于黄浦江之上。	J:	Out of doors, near the Huangpu River.
华：	没错。	W:	Exactly.
江：	今日与君重逢，实乃幸之甚矣。	J:	And...I'm very happy to meet you again today.
华：	我也很高兴见到您，非常感谢您努力促成了此次采访。	W:	And you, I thank you very much for granting this interview.
江：	朕欲假子之节目致君等美夷，广播吾天朝怀柔之美意。	J:	I hope to convey through your program my best wishes to American people, and you.
华：	也包括您的老朋友克林顿总统？还有您的新朋友乔治布什？	W:	And your friend President Clinton? And your friend George Bush?
江：	善哉！花旗国人无所不包，此乃花旗之友，朕交甚广之故也。	J:	That's right. Of course, including everybody, because, I have many, many friends in America.
华：	我明白了。	W:	I understand.
江：	众高朋也！	J:	All friends!
华：	我明白了。	W:	I understand.
华：	啊，主席先生。您在一把手位置上坐了得有十几年了吧。在当时被广泛认为是个过渡性的角色。大家都觉得您不会真正成为一把手，你只会花费几年时间之力这个国家，然后一些更加果断、更加强硬的人就会顶替您的位置。但是您击败了哪些怀疑者，执掌政权至今。您觉得是什么原因使您被小看了呢？	W:	Ah, you know Mr. President. You took over a little more than 10 years ago, right? Widely perceived to be a transitional figure. You were not going to be no.1, you were going to spend a few years, running the country, and then somebody more decisive and somebody stronger and therefore who's going to take you over. But you confounded the sceptics. You took charge and you still very much in charge. Why do you believe that perhaps you were underestimated?
江：	古今中外大多数政治家都是逐步走向高层的。我曾任上海市长，接着又兼任了上海市委书记。事实上，我根本没想过自己会被调到北京的中央委员会工作，但最终我还是被选中了。邓小平和其他老一辈的领导集体希望我成为中国共产党的总书记，我实在是没有料到。然而毕竟我已经在这个位置上坐了11年了，我坚定不移的信仰一直告诉我必须尽最大的努力去为我的祖国服务。或许是因为我刻苦勤奋，所以我现在还能坐稳这个位子。	J:	Many statesmen in the world had moved up gradually, I was the mayor, and then the Party Secretary in Shanghai. In fact, I did not think I would be transferred to the Central Committee here in Beijing. But finally I was the man who selected. Deng Xiaoping and other leaders of the old generation want me to become General Secretary of Communist Party. I did not expect this. However I've been in this position for 11 years, and I always held the conviction that I need to do my very best to serve my country and my motherland. And may be it is because my hard work and my diligence that I still have the job.
华：	短一点，美国的规矩你懂的，请更精简一点。	W:	The, the shorter answers, you know the United States, shorter answers, please. More concise.
江：	我的回答明明跟你提问的长度差不多啊。	J:	But I think my answer is roughly the same length as your question.
华：	我知道，您说得没错。	W:	I know it, that's absolutely ture.
江：	如果你的问题也能精简一点的话，我的回答也会精简一点的。	J:	If you give concise and brief questions, I'll give you brief answers.
华：	我听说您被形容为“绵里藏针”，这会不会是您成功的另外一个原因呢？这个成语又是什么意思呢？	W:	You are called, I sound, "the silk wrapped needle", is that one question for your success? And what does it mean?
